ref,text,translated,source_zip_file,similarity_score
"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Amaa Gyosefu, maa fɛ falɛ nfɛɛrɛ mʋ, nɩɩ Ɔnyɩrɩpɛ Ɩbwaarɛ kabɔɔ lɛɛ mʋ n‐yɩɩ kaapʋ mʋ idee tɔ tɔwɛ mʋ yɛ, “Gyosefu, Dawidi kanaana‐bii, man waa kufuu fɛɛ fʋ mɛɛ yɛ fʋ taa Mɛɛrɩ kili, lɩɩ fɛɛ Kayaayu Kyɩrɛkyɩrɛ mʋ ɩ yɛgɛ nɩɩ ɔ nyɛ ɔtɔ.","But Joseph, as he was thinking about this, an angel of the Lord appeared to him in a dream and said, “Joseph, son of David, do not be afraid to take Mary as your wife, because what is conceived in her is from the Holy Spirit.",output_proprietary_batch1,0.91552734375
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","Tʋtɔ nɩɩ ba kyɩna naa fʋʋ saŋa mʋ nɩɩ Herodi wu. Ɩnɩmʋ ɩ yɛgɛ nɩɩ asɩn mʋ nɩɩ Ɔnyɩrɩpɛ Ɩbwaarɛ bɔla mʋ ɔtɔwɛpʋ sʋ tɔwɛ mʋ ba tɔ. Ɩmʋ ɩ gyɛ yɛ, “Lɩɩ Egyipiti tɔ nɩɩ n tɩɩ Mi‐bii.”","That night, they got up and took the child and his mother and left for Egypt. They stayed there until the death of Herod. This happened to fulfill what the Lord had said through the prophet: “Out of Egypt I called my son.”",output_proprietary_batch1,0.78125
"So the Lord's promise came true, just as the prophet Jeremiah had said,","Ɩmʋ sʋ asɩn mʋ nɩɩ Ɔnyɩrɩpɛ Ɩbwaarɛ bɔla mʋ ɔtɔwɛpʋ Gyeremiya sʋ tɔwɛ mʋ ba tɔ. Ɩmʋ ɩ gyɛ yɛ,",This is what the Lord said to me concerning Jeremiah: Do not pray for these people.,output_proprietary_batch1,0.48046875
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","nɩɩ ɔ tɔwɛ mʋ yɛ, “Kʋsʋ taa kebii mʋ maa mu‐nyi bwii kpee Ɩsɩrayɩ ɔsʋwʋlɛ sʋ, lɩɩ fɛɛ bamʋ nɩɩ ba daa bee biti ba mɔɔ kebii mʋ ba wu.”","""And he said, 'Take the child and his mother and go to the land of Israel, for those who were trying to kill the child are dead.'""",output_proprietary_batch1,0.83984375
"But when he heard that Herod's son Archelaus was now ruler of Judea, he was afraid to go there. Then in a dream he was told to go to Galilee,","Amaa maa nu yɛ Akelasi i yii mʋ‐sɛ Herodi ayaa tɔ ee gyii kuwura Gyudeya mʋ, kufuu kɩ kɩtaa mʋ yɛ tʋtɔ kikpe. Ɩbwaarɛ maa da mu kumu tɔ idee tɔ sʋ mʋ, o kpeli kpee Galile kɩbaafʋn.","After they heard that Herod had died, they returned to Judea, but when they learned that his son was ruling there, they went instead to live in Galilee.",output_proprietary_batch1,0.70263671875
"Jesus answered, “For now this is how it should be, because we must do all God wants us to do.” Then John agreed.","Nɩɩ Yesu lɛɛ kɔnɔ yɛ, “Yɛgɛ ɩ waa kanɩn nbɩɩnbɩɩ nɩmʋ, lɩɩ fɛɛ ɔkpa nɩmʋ sʋ nɩɩ ɩ dagaa a maa waa ɩmʋ nɩɩ Ɩbwaarɛ biti mʋ kpini.” Nɩɩ Gyɔn kyula gyee Yesu Ɩbwaarɛ kekyugyee.","Then Jesus said, “If you want to be perfect, go, sell your possessions and give to the poor, and you will have treasure in heaven; then come, follow me.” Then the young man heard what Jesus said and went away sad.",output_proprietary_batch1,0.52685546875
"Then a voice from heaven said, “This is my own dear Son, and I am pleased with him.”","Nɩɩ ɔbʋlɛ kʋ lɩɩ sʋsʋ tɔwɛ yɛ, “Ɔnɩmʋ ɩ gyɛ mɛ kɔkɔlɔ tɔ obii‐bitisa, nɩɩ mʋ ɩ bɔla mi ansi.”","Then he looked at her and said, “If you give me a red rooster, then I will help you.”",output_proprietary_batch1,0.341552734375
"You are the light for the whole world. A city built on top of a hill cannot be hidden,",“Fan du nɩn fɛɛ ɩŋmaŋɛsa sa asa dulinyaa tɔ. Kadɛ lala mʋ nɩɩ kɩ gyan kɩbɩɩ sʋ mʋ mɛɛ taalɛ baala.,"If you want to be successful in life, you must work hard and not be lazy.",output_proprietary_batch1,0.2568359375
"Before you are dragged into court, make friends with the person who has accused you of doing wrong. If you don't, you will be handed over to the judge and then to the officer who will put you in jail.","“Nɩɩ ɔkʋ kan samaa fʋ asɩn ogyikpa mʋ, sun mata mʋ pɔyɩ asɩn kigyii kakɛ mʋ kɩ fʋʋ. Amaa nɩɩ ɩ man kan ba kanɩn mʋ, ee biti ɔ taa fʋ sa asɩn ogyipu mʋ, kɛ mɔɔ mʋ ɔ taa fʋ waa abu tiipu ɔkɩɩsʋpʋ abaa tɔ kɛ o tii fʋ obu.","If you do something good for your friend today, and he does not do anything good for you in return, do not be angry with him, because maybe one day he will do something good for you, or someone else will do something even better for you because of what you did.",output_proprietary_batch1,0.1751708984375
I promise you will not get out until you have paid the last cent you owe. Marriage,"N tɔwɛ fʋ kesintin fɛɛ, fii biti fʋ baa fʋ bʋ tʋtɔ naa fʋʋ saŋa mʋ nɩɩ fii biti fʋ‐ka fʋ kʋkɔ mʋ lʋwɛ. Kanyɩn Yɛ Kakyɩɩ Biti Kɩgyagaa Asɩn (Matiwu","If you want to be truly great, then you must humble yourself and serve others, just as the Son of Man came to serve and not to be served. Matthew",output_proprietary_batch1,0.08111572265625
