ref,text,translated,source_zip_file,similarity_score
"When Herod found out that the wise men from the east had tricked him, he was very angry. He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger. This was based on what he had learned from the wise men.","Jeha nɛ ɔ benɛ Herode na kaa ni leli ɔmɛ sisi lɛ ɔ, e muklii mi fu wawɛɛ, nɛ e tsɔ a ya gbe jokuɛ nyumuwi tsuo nɛ ngɛ Betlehem kɛ lejɛ ɔ ni ɔmɛ a mi tsuo, ninɛmɛ nɛ ye jeha enyɔ kɛ ninɛmɛ nɛ yi ja ngɛ be nɛ e bi ni leli ɔmɛ fitsofitso ɔ nya.","Jesus said to Herod that he should go to the place where the sheep are, and he commanded me to send those who should search for the young child in the town of Bethlehem who is staying among my people; and may you know that Jesus the Lord is the one who gives this understanding to speak the truth that he is in the place where the righteous people dwell.",Dec 08 output,0.448486328125
But I tell you that Solomon with all his wealth wasn't as well clothed as one of them.,Se i ngɛ nyɛ dee ke: Salmo kɛ e nyami ɔ tsuo tete mia we kaa enɛ ɔmɛ a kpɛti kake.,"When they say: Salmo is God who prostrates deeply before you, causing everyone's prayers to be heard.",Dec 08 output,0.03662109375
But Jesus replied: You want a sign because you are evil and won't believe! But the only sign you will get is the sign of the prophet Jonah.,"Se Yesu he nɔ nɛ e de mɛ ke: “Yi nɔ bi yayahi kɛ gba puɛli ngɛ okadi hlae; se a be mɛ okadi ko hae, kaa ja gbalɔ Yona okadi ɔ.","Then Jesus came and said to me: ""This is like a plowman who takes hold of the plow with the ox in the morning; if he leaves me and the ox does not go, then he will return to plow with the ox.""",Dec 08 output,0.41259765625
You may be sure a servant who is always faithful will be put in charge of everything the master owns.,"Niinɛ, i ngɛ nyɛ dee ke, e maa ngɔ lɛ ngɔ to e nihi tsuo kulaa nya.","Now, you say it has already come, he will eat and take that food which you cooked today.",Dec 08 output,0.25244140625
At noon the sky turned dark and stayed that way until three o'clock.,"Se kɛ je piani ngmlɛ nyɔngma kɛ enyɔ kɛ ya su ngmlɛ etɛ ɔ, diblii wo ngɛ zugba a tsuo nɔ.","If you go to the market where the chief's people are, you know you take them to those people there, but your house they will destroy.",Dec 08 output,0.08447265625
"When Herod found out that the wise men from the east had tricked him, he was very angry. He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger. This was based on what he had learned from the wise men.","Jeha nɛ ɔ benɛ Herode na kaa ni leli ɔmɛ sisi lɛ ɔ, e muklii mi fu wawɛɛ, nɛ e tsɔ a ya gbe jokuɛ nyumuwi tsuo nɛ ngɛ Betlehem kɛ lejɛ ɔ ni ɔmɛ a mi tsuo, ninɛmɛ nɛ ye jeha enyɔ kɛ ninɛmɛ nɛ yi ja ngɛ be nɛ e bi ni leli ɔmɛ fitsofitso ɔ nya.","Jesus said to Herod that there were three wise men who came, and he showed me where they took gold and myrrh from the town of Bethlehem where the child born among my people is; listen and hear the word of Jesus that you should listen and go there, for he is among the wise people seeking to find.",onesimus_31223989_Dec 12 output,0.5185546875
But I tell you that Solomon with all his wealth wasn't as well clothed as one of them.,Se i ngɛ nyɛ dee ke: Salmo kɛ e nyami ɔ tsuo tete mia we kaa enɛ ɔmɛ a kpɛti kake.,"If the people have said so: Salt is the water that boils well for us, and the people's mouth tastes it well.",onesimus_31223989_Dec 12 output,0.2489013671875
But Jesus replied: You want a sign because you are evil and won't believe! But the only sign you will get is the sign of the prophet Jonah.,"Se Yesu he nɔ nɛ e de mɛ ke: “Yi nɔ bi yayahi kɛ gba puɛli ngɛ okadi hlae; se a be mɛ okadi ko hae, kaa ja gbalɔ Yona okadi ɔ.","Then Jesus said to them, saying: ""This is like a sower who sows seed in the field early; if you do not till the field, then he will send his workers to the field.""",onesimus_31223989_Dec 12 output,0.3837890625
You may be sure a servant who is always faithful will be put in charge of everything the master owns.,"Niinɛ, i ngɛ nyɛ dee ke, e maa ngɔ lɛ ngɔ to e nihi tsuo kulaa nya.","Listen, you have this here, they speak words so that you don't understand well.",onesimus_31223989_Dec 12 output,0.0960693359375
At noon the sky turned dark and stayed that way until three o'clock.,"Se kɛ je piani ngmlɛ nyɔngma kɛ enyɔ kɛ ya su ngmlɛ etɛ ɔ, diblii wo ngɛ zugba a tsuo nɔ.","If you see the piano among the chief's people at your house going with the community's work there, but we will never show you respect.",onesimus_31223989_Dec 12 output,0.025604248046875
