ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
"But Jesus would not let him. Instead, he said, “Go home to your family and tell them how much the Lord has done for you and how good he has been to you.”",Yesu mɔ mɛŋ kyule sa mɔ. Ɔ tɔgɛ mɔ daa yɛɛ ɔꞌ naa kpe gɛwi de ɔꞌ kpaa tɔgɛ sa mɔ-adɛ ilaa gbaaꞌ ibono Wurubuaarɛ gi wɔra sa mɔ mɔ de gɛnɔɔbono o su mɔ gitolon mɔ.,"""Jesus is the only way to God. Anyone who does not believe in him will not enter heaven, according to the teachings of the Bible, the Word of God.""",0.4882441,output_jonathan,1.7235625350826118,20.815643177676478,11.269602856379544
I tell you no one ever born on this earth is greater than John the Baptist. But whoever is least in the kingdom of heaven is greater than John.,"Gɛsintin ne n kya tɔgɛ fɛye faa, iŋ ti korogɛ nyamesɛ ɔbono ɔ don Gyɔn baarɛ. Abono, mɔ, mɛ laa nyɛ Wurubuaarɛ gɛwuragyi dɔ akyenabi lii nperɛ kyu kyon mɔ, mɔmɔ dɔ ɔbono ɔŋ fo sɛi gbaa mɔ, laa don Gyɔn.","The goat that was tied to the tree, it is said that it gave birth to a kid in the forest, and the kid, indeed, grew up to be a lion in the Wurubua forest. And the lion, they say, returned to the place where it was born, and it was there that it gave birth to its own cubs, and they too became lions.",0.1225225,output_jonathan,1.3160273904596669,22.766012111885487,12.041019751172577
"The crowd was really surprised to see Jesus, and everyone hurried over to greet him.","Sakpii mɔ gi da de ginsi wu Yesu kya ba mɔ, i dɛ sakpii mɔ gɛnɔ gikyɔ, ne mɛ selɛ kpaa gyangara mɔ, ne mɛ faala mɔ.","""The people who believe in Jesus say that he is the only way, and they have faith in him, and they do not worship idols, and they do not sin.""",0.25709718,output_jonathan,2.6988233895132607,20.74301485426345,11.720919121888356
"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Wura Hɛrodɛ gi nu ilaa ibono so mɛ naa mɔ, i kyogedɛ mɔ-gisen dɔ. Gɛnen kee ne i kyogedɛ Gyɛrusalem awura mɔ pɛwu asen dɔ ne.","""Wura Herdon's people are not with us anymore, he has gone to his hometown. Some people are going to Jerusalem with him.""",0.37213984,output_jonathan,3.300809119141885,26.037993651793624,14.669401385467754
"Finally, the devil took Jesus up on a very high mountain and showed him all the kingdoms on earth and their power.","Yesu gi kii kine gɛnen mɔ, ilaa nyɛnyɛn pɛwu gɛmu mɔ gi kyu Yesu kpe gibii belɛ giko gimu so, ne ɔ yɛgɛ Yesu gi wu gɛsinkpan so isowolɛ kpɛi-kpɛi pɛwu imɔ‑rɛ imɔ-nyisigyi mɔ.",The text translates to:,0.054206204,output_jonathan,0.0,4.475326827438122,2.237663413719061
"Don't you think you should show pity to someone else, as I did to you?”",Fo mɛŋ nyi yɛɛ i kaaborɛ foꞌ su fo-nanbo so fɛɛ gɛnɔɔbono nɛ su fo so mɔ?’,"""Why do people always ask for help from others without even offering a small token of appreciation?""",0.3784724,output_onesimus007,1.9146030690102511,15.56136986035009,8.737986464680171
"After everyone had eaten all they wanted,",Mɔmɔ pɛwu mɛ gyi kaabo.,The woman is going to the market.,0.0544237,output_onesimus007,0.0,9.559057390775392,4.779528695387696
"After Jesus left, he went to Judea and then on to the other side of the Jordan River. Once again large crowds came to him, and as usual, he taught them.","Yesu gi koso lii nno, ne o kpe Gyudiya gɛsinkpan so de Gyɔɔdan ɔbon mɔ gibenbɛ giko so. Sakpii gi ti kpaa kyaabɔɔ mɔ, ne o nyiile mɔmɔ ilaa fɛɛ gɛnɔɔbono ɔ wolaa ɔ kya wɔra mɔ.",The text translates to:,0.05612097,output_onesimus007,0.021678733531790208,4.447203292114269,2.2344410128230296
who took the body and wrapped it in a clean linen cloth.,"Imɔso Gyosɛfo gi kpaa saga Yesu gibuni mɔ. O kyu gikɛlɛlɛ kyabi-kyabi kyu mili Yesu gibuni mɔ,",The man named Gyosɛfo has come back from Jesus's place. And he speaks-speaks very fast about Jesus's place.,0.25316557,output_onesimus007,1.9146030690102511,13.63854996003403,7.776576514522141
"He told them, “Go to Bethlehem and search carefully for the child. As soon as you find him, let me know. I also want to go and worship him.”","Mɛ tɔgɛ mɔ mɔ, o nyiile ɔmɔ yɛɛ mɛꞌ kpe Bɛtelɛhɛm, ne ɔ tɔgɛ dengɛ ɔmɔ-ansi yɛɛ, “Fɛꞌ kpaa laarɛ gɛbii mɔ dandan. Fɛ wu gɛmɔ mɔ, fɛꞌ yɛgɛ me-aso aꞌ nu de me kee nꞌ kpaa ŋmii gɛmɔ de nꞌ kyu buubuu ɔbono ɔ gyɛ gɛmɔ-lɛɛ mɔ sa gɛmɔ.”","""They gathered together, and one named Betelhem, and they also gathered the elders of the tribe, and said to them, ""Prepare a feast for us, prepare a great feast. We will dance and sing, but we will not dance and sing with our faces uncovered. We will cover our faces with masks, and we will dance and sing like monkeys, but only when we are in the forest, and when we return home, we will remove our masks.""",0.3897723,output_onesimus007,1.1965002930247453,20.083560154969778,10.640030223997261
