ref,text,translated,source_zip_file,similarity_score
"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Ni Adam kē̱: Agbe̱ne̱ ene̱ dši wu ni dše̱ miwui le̱ amli ke̱ lō ní dše̱ mihelo le̱ mli; aatšé̱ mone̱ yō, edšake̱ nū mli adšiele̱ ke̱-dše̱.","I'm Adam: I was born here and I live in this place; I love my family, and I will always stay here.",Dec 08 output,0.37109375
"The king was good to Abram because of Sarai, and Abram was given sheep, cattle, donkeys, slaves, and camels.","Ni ehĩe Abram dšogbāṅ ye̱ ehewo̱, ni ená tōi ke̱ tšinai ke̱ tedšihĩĩ ke̱ we-hĩĩ ke̱ weyei ke̱ tedšiyei ke̱ yomai.","Yesterday I met Abram, and I told him about the things that have happened to me.",Dec 08 output,0.311767578125
"I asked her who her father was, and she answered, “My father is Bethuel the son of Nahor and Milcah.” At once I put the ring in her nose and the bracelets on her arms.","Ni mibile̱ ake̱: Namo bi dšio? Ni ekē̱: Betuel, Nahor bi ni eke̱ Milka fo̱ le̱, bi dšimi. Ni miṅõ ga le̱ miwo egugõṅ, ni miṅõ ninešigai le̱ miwo enine;","We are traveling: Where are you going? We say: Betuel, Nahor, and we are going to Milka, we are leaving. We are going to the market to buy food, we are going to the farm to work.",Dec 08 output,0.131591796875
"Potiphar left everything up to Joseph, and with Joseph there, the only decision he had to make was what he wanted to eat. Joseph was well-built and handsome,","Nohewo̱ le̱ etu enibii fẽ ní eyo̱ le̱ ewo Iosef deṅ, ni ekwe̱e̱ enokonoko ake̱ dša nii ní eyeo̱ ke̱ke̱. Ni Iosef he ye̱ fe̱o ni ehĩe hũ ye̱ fe̱o.",We went to Joseph’s house and found him there. Joseph also went there and he was there.,Dec 08 output,0.48046875
"who said, “You have already taken my sons Joseph and Simeon from me. And now you want to take away Benjamin! Everything is against me.”","Ni ame̱tše̱ Iakob kē̱ame̱ ake̱: Nyekpakpā mibii ye̱ mihe: Iosef be̱, ni Simeon be̱, ni nyebaṅõ Benyamin hũ ke̱-ya; ene̱mei ne̱ fẽ le̱ mino̱ kã!","I am Jacob, son of ...: My brothers are Joseph, Simeon, and Benjamin; they are not ...",Dec 08 output,0.63818359375
"and the man exclaimed, “Here is someone like me! She is part of my body, my own flesh and bones. She came from me, a man. So I will name her Woman!”","Ni Adam kē̱: Agbe̱ne̱ ene̱ dši wu ni dše̱ miwui le̱ amli ke̱ lō ní dše̱ mihelo le̱ mli; aatšé̱ mone̱ yō, edšake̱ nū mli adšiele̱ ke̱-dše̱.","I'm Adam: I have lived here for a long time, and I have no desire to leave; I will stay, and my family will remain here.",onesimus_31223989_Dec 12 output,0.263671875
"The king was good to Abram because of Sarai, and Abram was given sheep, cattle, donkeys, slaves, and camels.","Ni ehĩe Abram dšogbāṅ ye̱ ehewo̱, ni ená tōi ke̱ tšinai ke̱ tedšihĩĩ ke̱ we-hĩĩ ke̱ weyei ke̱ tedšiyei ke̱ yomai.",My name is Abram; I was born in the village of ... and I have lived here all my life.,onesimus_31223989_Dec 12 output,0.326416015625
"I asked her who her father was, and she answered, “My father is Bethuel the son of Nahor and Milcah.” At once I put the ring in her nose and the bracelets on her arms.","Ni mibile̱ ake̱: Namo bi dšio? Ni ekē̱: Betuel, Nahor bi ni eke̱ Milka fo̱ le̱, bi dšimi. Ni miṅõ ga le̱ miwo egugõṅ, ni miṅõ ninešigai le̱ miwo enine;","We are here: How are you? We are: Betuel, Nahor, we are Milka’s child, we are together. We are going to the place where we live, we are going to the place where we belong.",onesimus_31223989_Dec 12 output,0.3291015625
"Potiphar left everything up to Joseph, and with Joseph there, the only decision he had to make was what he wanted to eat. Joseph was well-built and handsome,","Nohewo̱ le̱ etu enibii fẽ ní eyo̱ le̱ ewo Iosef deṅ, ni ekwe̱e̱ enokonoko ake̱ dša nii ní eyeo̱ ke̱ke̱. Ni Iosef he ye̱ fe̱o ni ehĩe hũ ye̱ fe̱o.","We are happy that you have come to the house of Joseph, and we will pray for you. Joseph also gave thanks and praised.",onesimus_31223989_Dec 12 output,0.36669921875
"who said, “You have already taken my sons Joseph and Simeon from me. And now you want to take away Benjamin! Everything is against me.”","Ni ame̱tše̱ Iakob kē̱ame̱ ake̱: Nyekpakpā mibii ye̱ mihe: Iosef be̱, ni Simeon be̱, ni nyebaṅõ Benyamin hũ ke̱-ya; ene̱mei ne̱ fẽ le̱ mino̱ kã!","I am called Jacob; my father is …: Joseph is, and Simon is, and also Benjamin is; this is the …",onesimus_31223989_Dec 12 output,0.54736328125
