ref,text
"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Suŋguru bo wɔ nya si má biɛsɔ bá nyinsɛ, na i wú baa­biɛsɔ, na bu fére i ka Emanuwɛli,” i bu la ka, Nyɛmɛ wo ya dɔ."
"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",na Fɛmɛ Yosiya awu Fɛmɛ Yɛkoniya ni i niɛmam. Nyini saŋga n ye bu miɛɛri Yisareli­fɔm fiteeri bu asiɛn su kɔɔri Babilɔniya asiɛn su n a.
"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","na nyini Jakɔbu n awu Yosefu, Mariya hun. Mariya wuuri Yesu bo bu fere i ka Kristo n a, Tii­de­fɔ n bo Nyɛmɛ ase ka i súnma i ni."
more to the birth of the Messiah. The Birth of Jesus (Luke,"na Azore awu Sadoki, na Sadoki awu Akim, na Akim awu Eliyudu,"
"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Kabo bu wuuri Yesu Kristo n yaa. Bu yo faari i ni Mariya ceeri Yosefu wɔ, ama, kana bu ba ja i kɔ i hun n dika ni, na ba fa nu ka i bita nyinsɛ bo i fite Nyɛmɛ Awiɛwiɛ Casi n dɛɛ yiko nu wɔ."
Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"I hun Yosefu yo ti sɔnɔ bo i yo sa bo i kɔ atin su Nyɛmɛ dɔ ɔ, nyini ti, wɔ koro má ka i wura i yi n nyinsɛ jama nu, na wɔ fa sunsunni ka i yaki i asiri nu."
"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Saŋga bo i wo birisi su n sɔ ni, na Micɛra n dɛɛ mɛrɛkɛ aba i dɔ alɛlɛ nu, aba ase i ka, “Fɛmɛ Davidi anuma Yosefu, má a soro sɛrɛ ka a ja Mariya, na a fa i kɔ u dika, dama Nyɛmɛ Awiɛwiɛ Casi ni maari i nyinsɛ n a."
"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","I wú baa­biɛsɔ na a fere i ka Yesu, i bu la ka Tii­de­fɔ, dama yiri bá yi i minɛm fite bu satiɛm nu a.”"
"So the Lord's promise came true, just as the prophet had said,","Tɔ, nyini n kɛrɛ yoori sɔ, adena i ma Nyɛmɛ nɔaniɛ kan­fɔ n nɔaniɛ n bá yo yii­wa, kabo wɔ jɔjɔ ka,"
"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Saŋga bo Yosefu teŋgeeri ni, na wɔ yo kabo Micɛra n dɛɛ mɛrɛkɛ n seeri i ni, na wɔ fa Mariya aba i dika."
But they did not sleep together before her baby was born. Then Joseph named him Jesus.,"Ama, i ni yiri asaŋga má bara ni biɛsɔ, haari Mariya ba wuuri baa­biɛsɔ, na Yosefu atun i duma ka Yesu."
"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Saŋga bo bu wuuri Yesu miɛ n bo bu fere i ka Bɛtilɛhɛm na i wo Yudiya awɔrɛ n nu ni, nyini saŋga ni Herode ti nyini awɔrɛ n nu fɛmɛ a. Na asara­mbaa kɔrɛsi­yi­fɔm nbem afite wiɛ afiiri, aba Yɛrusalem aba abisa ka,"
"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","“Baa n bo ba wu i na i bá yo Yuda­fɔm fɛmɛ n wo ni wɔ? Ya ŋu i asara­mbaa wiɛ afiiri dɔ, ye ya ŋa ya bá na ya bá kutu i a.”"
"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Fɛmɛ Herode tiiri sɔ ni, na jɔrɛ n amiɛ i ni Yɛrusalem­fɔm kɛrɛ."
"Herod brought together the chief priests and the teachers of the Law of Moses and asked them, “Where will the Messiah be born?”","Na wɔ fere Nyɛmɛ sa­yoo­wa dɔŋgu­yo­fɔm nkpiɛn­kpiɛnm, ni Nyɛmɛ nɔaniɛ kere­fɔm kɛrɛ atiɛn bu nɔɔ, na wɔ bisa bu ka, “Ye bu wú Kristo Tii­de­fɔ n ni wɔ?”"
"They told him, “He will be born in Bethlehem, just as the prophet wrote,","Na ba bɔ i nu ka, “Bɛtilɛhɛm bo i wo Yudiya asiɛn n su ni, dama kabo Nyɛmɛ nɔaniɛ kan­fɔ n kɛrɛɛri i lɛɛ. Micɛra n ŋa o,"
"‘Bethlehem in the land of Judea, you are very important among the towns of Judea. From your town will come a leader, who will be like a shepherd for my people Israel.’ ”","‘Wɔrɔ Bɛtilɛhɛm bo a wo Yuda asiɛn n su ni, a ti má miɛ kaan. Wɔrɔ ti Yuda asiɛn n su miɛm anyunuyi­fɔm kun a, dama ka fɛmɛ n bo m yí i na i bá yo m minɛ Yisareli­fɔm tii­fɔ ni, i fíte u dɔ ɔ.’”"
Herod secretly called in the wise men and asked them when they had first seen the star.,Na Fɛmɛ Herode afere asara­mbaa kɔrɛsi­yi­fɔm n asiri nu na i si saŋga bo asara­mbaa n tiɛɛri ni.
"He told them, “Go to Bethlehem and search carefully for the child. As soon as you find him, let me know. I also want to go and worship him.”","Na wɔ kere bu ka, “Am kɔ Bɛtilɛhɛm, na am kɔ niɛniɛ nyunyumi, na nzɛn am ŋuuri baa ni, am kpie am nyi ba se m na m gusu kɔ́ kutu i.”"
The wise men listened to what the king said and then left. And the star they had seen in the east went on ahead of them until it stopped over the place where the child was.,"Fɛmɛ n jɔjɔɔri bu dɔ wieeri sɔ n na ba de atin, bu wo kɔ su sɔ ni, na ba ŋu asara­mbaa n bo bu ŋuuri i wiɛ afiiri ni, ka i du bu mɔ haari na wɔ kɔ ajina awuru n bo baa n wo nu n tii su."
They were thrilled and excited to see the star.,"Bu ŋuuri asara­mbaa n sɔ ni, na bu ahore ajɔ agaya."
"When the men went into the house and saw the child with Mary, his mother, they knelt down and worshiped him. They took out their gifts of gold, frankincense, and myrrh and gave them to him.","Na ba kɔ awura awuru n nu, na ba ŋu baa n ni i ni Mariya na ba kutu i, na ba yo i ansɛ. Na ba nya ateke bu kurukum, na ba yi aceerim ace i. Aceerim n la sika, ni tulaalɛɛ nva­nvani­fɔ be, i ti samɛnɛ wɔ, ni baka nyunvuin nva­nvani­fɔ."
"Later they were warned in a dream not to return to Herod, and they went back home by another road. The Escape to Egypt","Nyini sin na ba fa atin be akpie bu nyi akɔ bu bɔsu, dama Nyɛmɛ ase bu alɛlɛ nu ka má bu kɔ Fɛmɛ Herode dɔ kun. Kabo Yosefu faari Yesu ni i ni ŋmati kɔɔri Ijipiti ni"
"After the wise men had gone, an angel from the Lord appeared to Joseph in a dream and said, “Get up! Hurry and take the child and his mother to Egypt! Stay there until I tell you to return, because Herod is looking for the child and wants to kill him.”","Asara­mbaa kɔrɛsi­yi­fɔm n kɔ wieeri ni, na Micɛra n dɛɛ mɛrɛkɛ aba Yosefu dɔ alɛlɛ nu, aba ase i ka, “Yasu fa baa n ni i ni na am ŋmati kɔ Ijipiti asiɛn su, má nyini Fɛmɛ Herode wo baa niɛniɛ su na i kun i. Am kɔ wo dɔ haari cɛɛn bo m bá kaaki ba ma am nɔɔ ka am yasu dɔ.”"
"That night, Joseph got up and took his wife and the child to Egypt,","Na Yosefu ayasu afa baa n ni i ni aŋmati kɔŋguɛ n kɛrɛ, na ba kɔ Ijipiti asiɛn n su,"
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","na ba wo dɔ haari Fɛmɛ Herode aba awu. Ahin yoori sɔ ni, i ma kabo Micɛra n ma i nɔaniɛ kan­fɔm n yo jɔjɔɔri n yo yii­wa a. I ŋa, “Ma fere m wa n afite Ijipiti asiɛn n su.” Kabo Fɛmɛ Herode ma bu kuunri nbaa­biɛsɔ kan kanm ni"
"When Herod found out that the wise men from the east had tricked him, he was very angry. He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger. This was based on what he had learned from the wise men.","Saŋga bo Fɛmɛ Herode ba faari nu ka asara­mbaa kɔrɛsi­yi­fɔm n adadaka i ni, na wɔ fa yaa agaya, na wɔ ma i sojam nɔɔ ka bu kɔ Bɛtilɛhɛm miɛ n nu, ni i ahɛmɛ ahɛmɛ n kɛrɛ su na bu kɔ kun nbaa­biɛsɔ kan kanm kɛrɛ bo ba wu bu kisa, kɔ ju afɔ nnyɔ, dama i sunsun ka saŋga n bo asara­mbaa kɔrɛsi­yi­fɔm n ŋa asara­mbaa n tiɛɛri ni, wɔ ju ka afɔ nnyɔ."
"So the Lord's promise came true, just as the prophet Jeremiah had said,","Nyini kere ka, kabo Nyɛmɛ nɔaniɛ kan­fɔ Jeremiya yo jɔjɔɔri n ayo yii­wa. I ŋa,"
"“In Ramah a voice was heard crying and weeping loudly. Rachel was mourning for her children, and she refused to be comforted, because they were dead.” The Return from Egypt","“Ya ti awie bo ŋga Rama miɛ kpiri nu, sun ni ahoresaaki wo dɔ, bara Rakɛli susun i nbaam busu. Wɔ kete ka má be kpata i, dama i nbaam wo má bɛrɛ kun.” Kabo Yosefu faari Yesu ni i ni fiteeri Ijipiti baari Nazarɛti ni"
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Saŋga bo Fɛmɛ Herode ba wuuri ni, na Micɛra n dɛɛ mɛrɛkɛ aba Yosefu dɔ alɛlɛ nu Ijipiti asiɛn n su, aba ase i ka,"
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","“Yasu fa baa n ni i ni, na am kpie am nyi kɔ Yisareli asiɛn su, dama minɛm bo bu kpiiri ka bu kun baa ni, ba wu.”"
"and they went to live there in the town of Nazareth. So the Lord's promise came true, just as the prophet had said, “He will be called a Nazarene.”","Nyini n kere ka, kabo Nyɛmɛ ma i nɔaniɛ kan­fɔm n jɔjɔɔri n yo yii­wa a, fa kɔ Kristo Tii­de­fɔ n dɔ. I ŋa, “Bu fére i ka Nazarɛti­fɔ ɔ.”"
Do something to show you have really given up your sins.,Am yo sakpa bo i kere ka am akaaki am wo.
"He said, “Turn back to God! The kingdom of heaven will soon be here.”","“Am kaaki am wo, dama saŋga n adodo bo Nyɛmɛ Fɛmɛ bá niɛ i minɛm su.”"
John wore clothes made of camel's hair. He had a leather strap around his waist and ate grasshoppers and wild honey.,Yohane wuraari sutura bo bu faari nyɔɔma ndɔrɛ wuuri i a. Na wɔ fa jina abo i wi nu. I diire yo la lalom ni wiɛ wɔ.
From Jerusalem and all Judea and from the Jordan River Valley crowds of people went to John.,"Na minɛ afite Yɛrusalem miɛ kpiri n nu, ni Yudiya dɛɛ awɔrɛ miɛm kɛrɛ su, ni Yodan dɛɛ bue n kɛrɛ aba i dɔ,"
