ref,text,translated,similarity_score,source_zip_file
God blesses those people who depend only on him. They belong to the kingdom of heaven!,"“Isami iku banama gi bɛmɔ e gyesi si Ɔfuɛfuɛ nɔ mɛ kigagla kíma ní ba awla, lɛ ese linu si lifunu ne Kaʋaŋaa ɛ, ba kanɛ kenu.”","""The people of Isami went to them and said, 'Let us build a house with our own hands,' and they worked until they finished at Kaʋaŋaa, and they were not afraid.""",0.17497209,output_23092025-2
"If your eye causes you to sin, poke it out and get rid of it. You would be better off to go into life with only one eye than to have two eyes and be thrown into the fires of hell. The Lost Sheep (Luke","Lɛ xe wɔ kimbi ye kiaki si wɔata kese e, kpaʋi kɛ tuʋe. Liapɛ ɔki wɔ si tiku ní ligbã moblo le me ni kimbi tile sanɔ si tɔ bimbi tuʋa bize wo pɔ̀ tɔ bakɔ wɔ aŋwia akpɛ ní kifumoni ye me e! Yesu ebu abee ní oʋesi gi ɛlila su u","Listen, the time is near when they will come, prepare and be ready. The Lord has told me to say to you that the day of the great judgment is coming, the time of reckoning has come; the trumpet will sound to gather the elect from the four winds and the four corners of the earth. Jesus is the one who leads us to eternal life, the true shepherd.",0.19543573,output_23092025-2
"And because the people did not have any faith, Jesus did not work many miracles there.","Agi kuziŋa kuze ní ba awla onu i, ɔ́bitɛ enugutseboe glegle ní niklɔ ɔ.","He is coming to the house of the man and me, they are going to the market quickly with the car.",-0.0069631375,output_23092025-2
"While Jesus and his disciples were going from place to place in Galilee, he told them, “The Son of Man will be handed over to people","Agi badɔkpasi ba pɔ́ bɛkpɛ likpɔ ní Galilea ɛ, Yesu asi ba si, “Bíha Ɔnɔɛ Yebi ye kukpɛ awla ki banima","The Lord Jesus was walking along the seashore in Galilee, and Jesus said to them, ""Come, O you who have faith, and be healed, for the kingdom of heaven is near.""",0.63904613,output_23092025-2
"No one was able to give Jesus an answer, and from that day on, no one dared ask him any more questions.","Ɔnɔnɔ ɔ́tani le onu kubu kí Yesu u, lɛ dɔnɔ liwe lɛ klɔ aʋa kɔtsinɔ ɛ, ɔnɔnɔ ɔ́tani yɛ liboeboe kuʋi tɔ ɔ.","We follow Jesus with all our hearts, and we know that the truth of the gospel is in Him, and we live in His presence.",0.3014535,output_23092025-2
God blesses those people who depend only on him. They belong to the kingdom of heaven!,"“Isami iku banama gi bɛmɔ e gyesi si Ɔfuɛfuɛ nɔ mɛ kigagla kíma ní ba awla, lɛ ese linu si lifunu ne Kaʋaŋaa ɛ, ba kanɛ kenu.”","""The people of Isami went to them and said, 'Let us build a house with our own hands,' and they worked until they finished at Kaʋaŋaa, and they were not afraid.""",0.17497209,output_23092025
"If your eye causes you to sin, poke it out and get rid of it. You would be better off to go into life with only one eye than to have two eyes and be thrown into the fires of hell. The Lost Sheep (Luke","Lɛ xe wɔ kimbi ye kiaki si wɔata kese e, kpaʋi kɛ tuʋe. Liapɛ ɔki wɔ si tiku ní ligbã moblo le me ni kimbi tile sanɔ si tɔ bimbi tuʋa bize wo pɔ̀ tɔ bakɔ wɔ aŋwia akpɛ ní kifumoni ye me e! Yesu ebu abee ní oʋesi gi ɛlila su u","Listen, the time is near when they will come, prepare and be ready. The Lord has told me to say to you that the day of the great judgment is coming, the time of reckoning has come; the trumpet will sound to gather the elect from the four winds and the four corners of the earth. Jesus is the one who leads us to eternal life, the true shepherd.",0.19543573,output_23092025
"And because the people did not have any faith, Jesus did not work many miracles there.","Agi kuziŋa kuze ní ba awla onu i, ɔ́bitɛ enugutseboe glegle ní niklɔ ɔ.","He is coming to the house of the man and me, they are going to the market quickly with the car.",-0.0069631375,output_23092025
"While Jesus and his disciples were going from place to place in Galilee, he told them, “The Son of Man will be handed over to people","Agi badɔkpasi ba pɔ́ bɛkpɛ likpɔ ní Galilea ɛ, Yesu asi ba si, “Bíha Ɔnɔɛ Yebi ye kukpɛ awla ki banima","The Lord Jesus was walking along the seashore in Galilee, and Jesus said to them, ""Come, O you who have faith, and be healed, for the kingdom of heaven is near.""",0.63904613,output_23092025
"No one was able to give Jesus an answer, and from that day on, no one dared ask him any more questions.","Ɔnɔnɔ ɔ́tani le onu kubu kí Yesu u, lɛ dɔnɔ liwe lɛ klɔ aʋa kɔtsinɔ ɛ, ɔnɔnɔ ɔ́tani yɛ liboeboe kuʋi tɔ ɔ.","We follow Jesus with all our hearts, and we know that the truth of the gospel is in Him, and we live in His presence.",0.3014535,output_23092025
