ref,text,translated,source_zip_file
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Ka Wina'am buol bʋnlammir dinɛ bɛɛ agɔl la ye, “Saŋgbauŋ.” Ka yʋ'ʋŋ da sɔb ka bɛog nie dabayi' daare la.","When the Lord had finished speaking to them, he said, ""Go."" And they got up and went to the place he had told them about.",output_proprietary_batch1
So God created humans to be like himself; he made men and women.,Ala ka Wina'am da maal ninsaal nwɛnɛ o mɛŋi an si'em la. Dau nɛ pu'a ka o da maal.,But Wina'am did not give anything to his friend. That is why he did not give.,output_proprietary_batch1
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.",M tis bʋnkɔnbid banɛ bɛ teŋin la nɛ niis banɛ bɛɛ agɔl nɛ bʋnvʋya banɛ ken teŋin hali nɛ linɛ wʋsa mɔr vʋm nɛ mɔma'asa ye li aan ba diib.” Ka li da niŋ ala.,"“I have seen children who are hungry and women who are crying and old men who cannot walk, while the sun is hot and the ground is hard, but there is no food.” And there was nothing to say.",output_proprietary_batch1
"By the seventh day God had finished his work, and so he rested.",Ka daba ayɔpɔi la daar o da naae o tʋʋma la wʋsa ka vʋ'ʋs daakan la.,"If a child is lazy, he will not succeed in his work and will remain poor.",output_proprietary_batch1
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Agɔl nɛ teŋ maaligʋ da pin'il si'em nwa'. Zugsɔb Wina'am da maal agɔl nɛ teŋ la,","The chief and his elders sat under the big tree. The youth leader of the community joined the chief and his elders there,",output_proprietary_batch1
"except the one that has the power to let you know the difference between right and wrong. If you eat any fruit from that tree, you will die before the day is over!”",amaa mid ka fʋ di tikanɛ kɛt ka fʋ baŋid linɛ an sʋm nɛ bɛ'ɛd la! Fʋ ya'a dii li fʋ na kpi.”,"But if you do that again and you don't listen to me, you will see! You have done it before and you didn't die.",output_proprietary_batch1
"So the Lord God made him fall into a deep sleep, and he took out one of the man's ribs. Then after closing the man's side,","Ka Zugsɔb Wina'am kɛ ka dau la gbis, ka o yis dau la sapirig ka maali lɛbis on yis lɔsi'a la.","When the chief speaks and gives an order, he expects the elders and young men to obey it.",output_proprietary_batch1
"The Lord said, “They now know the difference between right and wrong, just as we do. But they must not be allowed to eat fruit from the tree that lets them live forever.”","Ka Zugsɔb Wina'am yɛl ye, “Ninsaal la yʋ'ʋn nwɛnɛ tinam nɛ, ka mi' sʋm nɛ bɛ'ɛdi bakid. Li pʋ sʋ'ʋm ye o pun'oe nyɔvʋr tiig la wala di ka vʋe saŋa wʋsaa.”","And the Lord God said, “It is not good for the man to be alone, so I will make a helper suitable for him. Out of the ground the Lord God formed every animal of the field and every bird of the air.”",output_proprietary_batch1
"If you had done the right thing, you would be smiling. But you did the wrong thing, and now sin is waiting to attack you like a lion. Sin wants to destroy you, but don't let it!","Fʋ ya'a tʋmin dinɛ an sʋm, m naan kʋ di'enɛ fʋ maan laa? Amaa fʋn pʋ tʋm linɛ an sʋm la, tʋʋmbɛ'ɛd bɛɛ fʋ za'anɔɔrini bɔɔd ye o nyaŋif, amaa mɔɔm ka nyaŋ o.”","If you are able to do this work at night, why do you say you cannot do it during the day? Even if you cannot work at night, others can do it better than you, but you do not know that.",output_proprietary_batch1
"Cain said to his brother Abel, “Let's go for a walk.” And when they were out in a field, Cain attacked and killed him.","Ka Kain ti yɛl o pitʋ Abɛl ye, “Kɛl ka ti yii keŋ mɔɔgin.” Ka ban paae mɔɔgin la ka Kain kpɛn nwɛ' o pitʋ Abɛl n kʋʋ o.","And Cain said to his brother Abel, ""Let us go out to the field."" And when they were in the field, Cain rose up against his brother Abel and killed him.",output_proprietary_batch1
