ref,text,translated,source_zip_file,similarity_score
"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Pɔ kɛlɛede gɛ akpɛ kɛtɔkpum ana nɛɛ, Kpaya axwɛdɛ ebe bu ishu akasɛ yɛ nɛ bulɛla mɛ asɛ, “Yosɛfu Daviti yɛeyi, tɛ si kifu nɛ Maria tɛgbɛgbanɔ vɛnɔ bupa mɛ ansɛ wedzini ana nɛ shu, alasɛ ɛya nɛ gɛ ɛlɛ yɛ shu nɛɛ lɛ de Ɔfufɔɛ Dzyɔgo nɛ ɔkɔ.","While they were there, the time came for her to give birth, and she gave birth to her firstborn son. She wrapped him in cloths and placed him in a manger, because there was no room for them in the inn.",output_proprietary_batch1,0.420166015625
"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ɔkɛlɛ aza ɔdɔ nanɔ kibe lɛ gɛ Heroɖesɛ ebe tsi. Klɛ kɛ ba kɛlɛm anasɛ gɛ Apalete nɛ aɖɔ ganɔ atɔnu nɛa bha sɛ, “Nɛ Edzyibite mɛ ɛba kulu mɛ eyianyɛ nɛ denɔ.”","When Jesus was born in Bethlehem during the time of King Herod, some wise men from the east came to Jerusalem and asked, “Where is the one who has been born king of the Jews? We saw his star when it rose and have come to worship him.”",output_proprietary_batch1,0.57958984375
"So the Lord's promise came true, just as the prophet Jeremiah had said,",Ɔkɛlɛ kibui nɛ gɛ ba ɖɔ lu ganɔ atɔnu Yeremia bha nɛ ba kɛlɛ mɛ sɛ:,"The word that came to Jeremiah from the Lord, saying:",output_proprietary_batch1,0.6865234375
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","klɛ asɛ, “Vu ɔlɔ, yɛkɔ anuvɔ anɛ yɛeni tɛ nɔ shɛ vɛ Izraɛl kesukpam, alasɛ bagɛ ba pɛɛ anuvɔ nɛ asɛ tɛ be yi nɛ eti tsi.”","But he said, “No, we will go spend the night in the square, because his master did not want to go spend the night in the town.”",output_proprietary_batch1,0.260009765625
"But when he heard that Herod's son Archelaus was now ruler of Judea, he was afraid to go there. Then in a dream he was told to go to Galilee,","Pɔ gɛ enu asɛ Heroɖesɛ yeyi Atsyɛlausɛ yɛ aŋa bukusi nɛ yɛaka kinyi mɛ nɛ Yuɖia nɛɛ, kifu kui sɛ tɛ avɛ ɔkɛlɛ. Gɛ batɛ kpɛ yɛ ɔshã nɛ bulɛla mɛ so, etsodzi ɔkɛlɛ klɛ ada fla vɛ Galelia kɛdɔ nɛm,","But when he heard that Archelaus was reigning over Judea in place of his father Herod, he was afraid to go there. Having been warned in a dream, he withdrew to the district of Galilee.",output_proprietary_batch1,0.900390625
"Jesus answered, “For now this is how it should be, because we must do all God wants us to do.” Then John agreed.","Yesu ebui lɛ nu asɛ, “Kɔ kɛ za na ɔtsɔ̃; kɛbɔ sɛ tɛ bubhɛtɛ ana sɛ tɛ kɛ na nɛ tɛzɛza dzyɔgo mɛ petee.” Klɛ Yohanɛsɛ ayɛkɛ lɛ.","Jesus answered him, “Go and do likewise; pray that your faith does not fail or that you do not fall into temptation.” This is what John did.",output_proprietary_batch1,0.60888671875
"Then a voice from heaven said, “This is my own dear Son, and I am pleased with him.”","Klɛ oli toli mɛ ode owũsise sɛ, “Meyi naa, gɛ ɛdɛmɛnɔ; yɛm mɛ mɔ awɔ̃kuku mɔmɔ.”","Then the child said to his father, “I am here, do not worry; I will go and fetch the chicken.”",output_proprietary_batch1,0.469970703125
God blesses those people who are merciful. They will be treated with mercy!,"Ba yula bagɛ balɛ edi eshutukubui, alasɛ balɛ le be di eshutukubui.","If you do not know the answer, say you do not know the answer.",output_proprietary_batch1,-0.005657196044921875
"But I promise you if you are angry with someone, you will have to stand trial. If you call someone a fool, you will be taken to court. And if you say that someone is worthless, you will be in danger of the fires of hell.","Pɔ itsre nɔ sɛ, anɔnyanɔ gɛ amɔ oblo nɛ yɛadzya be be kulu kebhui nɛ yɛ. Ɔyɛkɔplɛnɔ anɔnyanɔ gɛ ebe tsre yadzya sɛ, ‘Ɔmɛtã kɔ kɛdɔnyɛdɔ,’ ebe bu shu nu nɛ Bebhuiklu naa mɛ. Pɔ anɔ nɛ gɛ aaɖɔ sɛ, ‘Wɔ agã onu!’ ebe tsoku butɔm anɛ kifu mabeke mabekem.","If you hear this, remember that we have been told to always keep our hearts pure. The wise ones say, ‘We must walk in truth,’ so that Bebhuiklu will bless us. If someone says, ‘Let us do evil!’ turn away and do not follow their ways.",output_proprietary_batch1,0.372314453125
"leave your gift there in front of the altar. Make peace with that person, then come back and offer your gift to God.",shɛnahwɛ kɛdɔ nɛ shu olu ɔkɛlɛ nɛ busɔlɛvumokpo nɛ otugba tɛ ɔshɛ̃. Putɔnɔ nɛɛ vɛ tɛ ɔdɔ bhɛtɛ terikpo anɛ wadzya; tɛ otsio tsodzi ɔba tɛ ɔbɔ kɔ wɔɛ dɔ.,"The child went to the river and fetched water with a big calabash for his mother. Later, he sat by the fire to warm himself; then he ate some food before he went to sleep.",output_proprietary_batch1,0.171875
