Model,Similarity Score (%),Raw Score
gemma2-9b-it,44.28%,44.280731900000006
qwen3-32b,40.83%,40.826107580000006
deepseek-v3.1,37.51%,37.509565865330885
kimi-k2-instruct-0905,36.47%,36.473102645164815
seed-oss-36b-instruct,36.22%,36.21710488716208
llama-4-maverick-17b-128e-instruct,35.43%,35.42687484808335
llama-3.3-70b-instruct,35.06%,35.06036923641544
palmyra-med-70b,34.33%,34.3346136
mistral-medium-3-instruct,33.31%,33.31245981385354
gemma-2-27b-it,32.56%,32.56360181309524
qwen3-235b-a22b,31.53%,31.534346313984944
llama-3.1-405b-instruct,29.80%,29.79833136650965
mistral-7b-instruct-v0.3,29.10%,29.104125429999993
qwq-32b,28.14%,28.140187619761903
gpt-oss-120b,28.03%,28.031170279347428
gemma-2-9b-it,23.54%,23.542595234325397
