ref,text,translated,source_zip_file,bleu_score,chrf_score,avg_score
"The Lord protects everyone who follows him, but the wicked follow a road that leads to ruin.","Tsufɛ Nana Bulu tɛkpa yile abwɛpʋ, tamɛ lalahɛ abwɛpʋ mʋ́ bɛ́ta.","God created the world good, but people have spoiled it.",output_proprietary_batch1,4.4946920642205725,15.10817936654455,9.80143571538256
because you protect and bless your people.,"Nana Bulu, fʋ ɩbɩtɔ nkpahɔ bʋ. Ha fʋ oyula ɩba fʋ abisʋ. Ɩya.","Nana Bulu, you have done well. May God bless you. Amen.",output_proprietary_batch1,3.4585921141027356,26.660371747481477,15.059481930792106
"How long will you people refuse to respect me? You love foolish things, and you run after what is worthless.","Oo anyankpʋsa, mlɩméesi mɩ kpɔɩ? Mlɩméesi asʋn ánɩ́ ɩma labi ɔma gya, si afunu buo? Ɩya.","You fool, do you see me? Do you think that I am a child or a woman, or what? No.",output_proprietary_batch1,4.260146736441797,18.547220798642723,11.40368376754226
Offer the proper sacrifices and trust the Lord.,"Mlɩbɔ afɔdɩɛ wanklaan, amlɩpʋ ansɩ dɩnka Nana Bulusʋ.","They went to the farm yesterday, they met someone called Nana Bulusu.",output_proprietary_batch1,3.377156414337854,15.426048230372738,9.401602322355295
You brought me more happiness than a rich harvest of grain and grapes.,"Faha ansɩ lahɩɛ gyi mɩ, dʋn ansɩá itegyi amʋ́ brɛá amʋ́ atogyihɛ pʋ́ amʋ́ nta labusʋ.","If a person does not have a house, then that person or his children or his grandchildren will not have rest.",output_proprietary_batch1,1.958224832501124,18.866459431891826,10.412342132196475
Let all who run to you for protection always sing joyful songs. Provide shelter for those who truly love you and let them rejoice.,"Tamɛ ha aha ánɩ́ bʋtɛsrɩ tanʋ fʋ fɛ́ɛ́ abʋnya ansigyi. Ha amʋ́ abʋwa ansigyi ɩlʋ. Bun amʋ́sʋ, mɛnɩ ansɩ bégyi fʋ adwɛpʋ fɛ́ɛ́.","We should not think that all white people are bad. There are also good white people. But even so, we must be careful with strangers.",output_proprietary_batch1,1.6934096677198087,20.63182367387528,11.162616670797545
"Don't punish me, Lord, or even correct me when you are angry!","Oo Nana Bulu, máwa ɩyɩn wa mɩ ɔblɔsʋ. Mákʋla ɔblɔ bɩtɩ mɩ ɩsʋ!","O God, I give you my life. I entrust my life into your hands!",output_proprietary_batch1,3.0098043843528286,12.831334264829703,7.920569324591266
"The trouble they cause comes back on them, and their heads are crushed by their own evil deeds.",Amʋ́ onuto lalahɛ teyinki ba amʋ́sʋ. Amʋ́ owuntɔlɩn teyinki bobun amʋ́ nwunsʋ.,"He/She is not a liar, he/she does not lie. He/She is truthful, he/she tells the truth.",output_proprietary_batch1,1.5880117714047368,17.30499380124478,9.446502786324759
"the birds in the sky, the fish in the sea, and all ocean creatures.",mbubwi mʋ́a ntsutso-aye pʋ́ ntobiá bʋna ɔpʋtɔ fɛ́ɛ́.,The dog that bit the child yesterday ran away into the forest.,output_proprietary_batch1,2.988662868962178,20.161546285952177,11.575104577457177
"Our Lord and Ruler, your name is wonderful everywhere on earth!","Oo anɩ Wie Nana Bulu, fʋ ɩda lɔkʋkʋ moni ɔyɩtɔ o!","Oh how great is God, you have done a wonderful thing!",output_proprietary_batch1,4.368583925857938,27.17970977367376,15.774146849765849
You judge the world fairly and treat all nations with justice.,Obégyi ɔyɩtɔ aha fɛ́ɛ́ asʋn mʋ́ ɔkpasʋ. Obégyi ɔmá fɛ́ɛ́sʋ ɔnɔkwalɩsʋ.,The child wants to eat food but he has no money. The child will eat if he works.,output_proprietary_batch1,1.9146030690102511,20.513170247991592,11.213886658500922
"Please have mercy, Lord! My enemies mistreat me. Keep me from the gates that lead to death,","Oo Nana Bulu, wun mɩ nwɛ! Kɩ alɩá mɩ alupʋ bʋdɛ mɩ ipiantɔ wa! Fʋtɛlɛ mɩ tsu lowu ɔbɔnɔ,","Oh Lord God, have mercy on me! Do not let my enemies rejoice over my downfall! Deliver me from the hand of the wicked,",output_proprietary_batch1,7.61223519170024,34.44582467761068,21.029029934655462
and I will sing about you at the gate to Zion. I will be happy there because you rescued me.,"mɛnɩ nɛ́kanfʋ fʋ Sionfɔ ofiakpa. Ansɩ bégyi mɩ, tsufɛ fahɔ mɩ nkpa.","I will not go up to Zion again. But they mocked me, so I will not go there again.",output_proprietary_batch1,6.798317193644945,27.413385172695648,17.105851183170298
"Do something, Lord! Don't let the nations win. Make them stand trial in your court of law.","Oo Nana Bulu, kʋsʋ! Máha nyankpʋsa ɔwa ɔkpayi fʋ ansɩtɔ ɔbɛɛ, magyi ɩsʋ. Ɔmá-ɔmá bʋgyi ɩpɔn fʋ ansɩtɔ!","Oh God Almighty, thank you! I have received the good news that you have given us, I am very happy. May everyone praise you for your goodness!",output_proprietary_batch1,1.7345617945636578,16.493744942110215,9.114153368336936
